Source_Doc_Index,Target_Doc_Index,Target_Doc_Number,Citation_Text
33,87,청년사업담당관-566,"...경유 정보는 비어 있습니다. 제목은 '2025년 서울 청년수당 7월분 추가지급'입니다.  청년사업담당관-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
176,219,미래청년기획단-920,"...경유를 거칩니다.  문서의 제목은 '2024년 서울 청년수당 9월분 추가 지급'입니다.  미래청년기획단-920 (2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
157,219,미래청년기획단-920,"...내부결재 (경유)  **제목: 2024년 서울 청년수당 11월분 지급(2차 참여자)**  미래청년기획단-920 (2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
49,36,미래청년기획단-566,"...* 내부결재 **(경유)**  **제목** 2025년 서울 청년수당 7월분 지급(2차)  미래청년기획단-566(2025년 서울 청년수당 사업 운영계획, 2025.1.16.)호와 관련하여, 2025년..."
223,219,미래청년기획단-920,"...다.  수신 내부결재 (경유)  **제목** 2024년 서울 청년수당 6월분 추가 지급  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
139,134,청년사업담당관-556,"...단 및 전담 콜센터 운영 용역 지출 품의  1.  2025년 서울 청년수당 사업 운영계획(청년사업담당관-556, 2025.1.16.) 관련입니다. 2.  '2025 서울 청년수당 서류검증단 및 전담..."
117,106,청년사업담당관-1743,"...되어 있지 않습니다.  문서 하단에는 시행 관련 정보가 기재되어 있습니다. 시행 기관은 '청년사업담당관-1743'이며, 2025년 2월 20일에 접수되었습니다.  주소 정보는 '우 04520 서울특별시..."
152,219,미래청년기획단-920,"...어 있지 않습니다.  제목은 **2024년 서울 청년수당 11월분 추가 지급**입니다.  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
198,219,미래청년기획단-920,"...결재 (경유)  #### 제목 2024년 서울 청년수당 8월분 추가 지급(2차 참여자)  미래청년기획단-920(2024년 서울 청년수당 사업 운영계획, 2024.1.19.)호와 관련하여, 2024년..."
5,87,청년사업담당관-566,"...입니다.  *   2025년 1월, 청년수당 사업 운영계획이 수립되었습니다. (문서번호: 청년사업담당관-566) *   2025년 3월, 청년수당 참여자를 1차 모집했습니다. *   2025년 6월,..."
